,original,paraphrase,our_paraphrase
2484,"Nasploh ima četrt Santo Spirito, kot pove ime, več duše.","Na splošno ima, kot že ime pove, četrt Santo Spirito več duše.",Na splošno ima četrt Santo Spirito več duše.
2485,"Tu najdeš stare Firence: antikvariate, obrtniške delavnice, manjše galerije in zanimive trgovinice.","Tukaj boste našli stare Firence: starine, obrtne delavnice, majhne galerije in zanimive trgovine.","Tu najdeš stare Firence: antikvariate, obrtniške delavnice, manjše galerije in"
2486,106 Zakaj ne bi …,106 Zakaj ne bi...,106 Zakaj ne bi...
2487,(telo)vadila skupaj,(telo) vadili skupaj,(telo)vadila skupaj
2488,8 Cosmopolitan.si Na naši spletni strani je vedno kaj novega,8 Cosmopolitan.si Na naši spletni strani je vedno nekaj novega,8 Cosmopolitan.si Na naši spletni strani je vedno kaj novega.
2489,12 Cosmo nabiralnik Pošlji nam tudi ti svoje pohvale in kritike,12 Cosmo nabiralnik Pošljite nam vaše pohvale in kritike preveč,12 Cosmo nabiralnik Pošlji nam svoje pohvale in kritike
2490,PALEC DOL: “Kot kozmetičarko me je branje članka o ponesrečenih lepotnih izkušnjah kar vrglo iz tira.,"DOL: ""Ko sem bila kozmetičarka, me je branje članka o neuspelih lepotnih doživetjih vrglo s poti.","PALEC DOL: ""Kot kozmetičar sem me branje članka o ponesrečenih lepotnih izkušnjah vr"
2491,"Težko verjamem, da kje svoje usluge opravljajo tako neprofesionalno, kot navajate.","težko verjamem, da svoje delo opravljajo tako neprofesionalno, kot ste navedli.","Težko verjamem, da so v tujini opravljali svoje usluge tako neprofesionalno, kot navajate"
2492,"Res je, da depilacija ni primerna za vsako kožo in da pride včasih do neželenih reakcij, se pa strinjam z nasvetom, da je treba v salonu vedno jasno izraziti svoje želje.”","Res je, da voskanje ni primerno za vsakogar in da včasih pride do neželenih reakcij, vendar se strinjam z nasvetom, da morate v salonu vedno jasno navesti svoje želje. ""","Res je, da depilacija ni primerna za vsako kožo in da včasih pride do neželenih"
2493,"“Odločila sem se, da vam napišem tole pismo samo zato, ker morate vedeti, da me Cosmopolitan spremlja čisto povsod.","""Odločil sem se, da ti napišem to pismo samo zato, ker bi moral vedeti, da mi Cosmopolitan sledi povsod.","""Odločila sem se, da napišem tole pismo samo zato, ker morate vedeti,"
2494,"Letošnji september sem preživela na Tajskem, kjer mi je Cosmo popestril prijetno poležavanje na plažah.","septembra letos sem preživel na Tajskem, kjer mi je Cosmo dal nekaj časa na plaži.","Letošnji september sem preživel na Tajskem, kjer mi je Cosmo popestril prijetno poležavanje"
2495,"Še posebej moram poudariti, da mi je prav prišel tudi recept za koktajl Carrie Bradshaw, ki ga je posebej za Cosmo ustvaril znani barman in ste ga objavili.","še posebej moram poudariti, da sem potrebovala tudi recept za koktajl Carrie Bradshaw, ki je bil ustvarjen posebej za Cosmo s strani slavnega natakarja in vi ste ga objavili.","Še posebej moram poudariti, da mi je prav prišel recept za koktajl Carrie Br"
2496,"Od 26. 9. 2008 ga lahko naroči vsaka cosmo bejba, ki bo pripotovala na tajski otok Koh chang in se v večernih urah ustavila v najbolj glasnem lokalu na plaži Kaibae, saj ga je tamkajšnji lastnik uvrstil na svoj meni.","Od septembra 26, 2008, ga je mogoče naročiti vsak Cosmo babe, ki potuje na tajskem otoku Koh Chang in se ustavi na najglasnejši bar na Kaibae Beach v večernih urah, kot lastnik plaže je dal na svojem meniju.","Od 26. 9. 2008 ga lahko naroči vsaka cosmo bejba, ki bo pripotoval"
2497,"No, pa še nekaj bi vas prosila, če je možno: bi lahko napisali kakšen članek o tem, kako s svojim dragim, s katerim ti včasih že zmanjka idej, ker sta tako dolgo skupaj, preživljati prosti čas?”","No, rad bi vas vprašal nekaj drugega, če je mogoče: ali bi lahko napisali članek o tem, kako preživeti čas s svojim ljubljenim, s katerim včasih zmanjka idej, ker so skupaj že tako dolgo? ""","No, pa še nekaj bi vas prosila, če lahko napišete kakšen članek o tem, kako"
2498,"Ker pa je Cosmo vsak mesec poln takšnih in drugačnih idej, si tudi letos nismo mogli kaj, da ne bi pobrskali po trgovinah in poiskali nekaj cenovno ugodnih daril, ki bi se jih razveselil tako rekoč vsak.","Ker pa je Cosmo vsak mesec poln takšnih in drugačnih idej, letos nismo mogli storiti ničesar, da ne bi brskali po trgovinah in našli nekaj cenovno ugodnih daril, ki bi razveselila skoraj vsakogar.","Ker je Cosmo vsak mesec poln takšnih in drugačnih idej, si letos nismo mogli kaj,"
2499,"Najdeš jih na straneh 152, 154 in 156 – toliko jih je, da jih boš brez težav izbrala nekaj za tiste, ki jih imaš najraje.","Našli jih boste na straneh 152, 154 in 156 - toliko jih je, da ne boste imeli težav pri izbiri nekaj za tiste, ki jih imate najbolj radi.","Najdete jih na straneh 152, 154 in 156 - toliko jih je,"
2500,"V številki, ki jo držiš v rokah, pa je spravljeno tudi darilo, namenjeno prav tebi.","V številu, ki ga držite v roki, je tudi darilo za vas.","V številki, ki jo držite v rokah, je shranjeno darilo, namenjeno prav tebi."
2501,"Fante zgoraj brez, za katere ste pretekli mesec v okviru akcije Model za naslovnico tako vneto glasovale, smo natisnili še na koledar.","Fantje zgoraj brez, za katere ste prejšnji mesec tako navdušeno glasovali kot del Modela za naslovno kampanjo, so bili natisnjeni tudi na koledarju.","Fante zgoraj brez, za katere ste pretekli mesec v okviru akcije Model za naslovnico tako vne"
2502,"Prepričani smo, da bo v letu, ki prihaja, marsikateri krasil sobo ali pisarno in vam polepšal marsikateri dan.","Prepričani smo, da bo v prihodnjem letu okrasil številne sobe ali pisarne in polepšal veliko vaših dni.","Prepričani smo, da bo v letu, ki prihaja, marsikateri krasil sobo ali pisarno in vam"
2503,"*Moje najlepse darilo je bilo, ko mi je Ben kupil DVD-zbirko vseh sedmih sezon serije Star Trek: The Next Generation.","* Moje najlepše darilo je bilo, ko mi je Ben kupil DVD zbirko vseh sedmih letnih časov Star Trek: The Next Generation.","*Moje najlepše darilo je bilo, ko mi je Ben kupil DVD-zbirko vseh sedmih"
2504,Sem namrec velika fenica.,jaz sem velik oboževalec.,em velika fenica.
2505,PODPIS POD SLIKO: Kako pogosto se rokuješ z njim?,Prijavite se: Kako pogosto se pogovarjate z njimi?,PoDPIS pod sliko: Kako pogosto se rokujete z njim?
2506,"Naj se ve, čigava je soba.","Naj se ve, kdo je lastnik sobe.","Naj se ve, kje je soba."
2507,Vesel je bo vsak športnik.,Vsak športnik bo srečen.,vesel bo vsak športnik.
2508,Moja prva knjiga govori o ...,Moja prva knjiga govori o...,Moja prva knjiga govori o...
2509,"Afričanu, ki se zaradi ljubezni znajde v Ljubljani ter tukaj opazuje ljudi in okolico.","Afričan, ki se v Ljubljani znajde iz ljubezni in tu opazuje ljudi in okolico.","Afričan, ki se zaradi ljubezni znajde v Ljubljani, opazuje ljudi in okolico."
2510,"Ta moški je izobražen, ambiciozen, lepo oblečen in zelo prijetnega videza, kar je čisto nasprotje stereotipu, ki ga je še vedno mogoče začutiti pri nas.","Ta človek je izobražen, ambiciozen, dobro oblečen, in zelo prijeten videz, kar je povsem v nasprotju s stereotipom, ki še vedno obstaja v naši državi.","Ta moški je izobražen, ambiciozen, lepo oblečen in zelo prijetnega videza, kar"
2511,Ne more brez: knjig,Ne more storiti brez knjig:,Ne more brez: knjig
2512,"N: ""Zaigrano užaljenost, mojo razigranost, ker ga včasih potegnem v svoj svet.","""Igriva žalitev, moja igrivost, ker jo včasih potegnem v svoj svet.","N: ""Zaigrano užaljenost, mojo razigranost, ker ga včasih poteg"
2513,"Tudi to, da veliko govorim.""","Tudi jaz veliko govorim. ""","Tudi to, da veliko govorim. """
2514,"N: ""Fino nama je, če sva na kakšnem oddihu, da si res vzameva čas zase, ko zjutraj lahko lenariva v postelji ...""","N: ""super je, če smo na počitnicah, da si zares vzamemo čas zase, ko zjutraj lahko ležemo v posteljo...""","N: ""Fino je, če sva na dopustu, da si res vzameš čas zase"
2515,"D: ""Njen 'sad puppy face', ko potem dobi vse, kar hoče.","""njen žalostni kužek "", ko dobi vse, kar hoče.","D: ""Njen ""sad puppy face "", ko dobi vse, kar"
2516,BESEDILO: Člani popularne mehiške skupine Rebelde so z obiskom v Sloveniji povzročili pravo histerijo.,TEST Člani priljubljene mehiške skupine Rebelde so z obiskom v Sloveniji povzročili pravo histerijo.,BESEDILO: Člani popularne mehiške skupine Rebelde so z obiskom v Sloveniji povzročili
2517,Zaradi priljubljenosti so brez težav razprodali tri koncerte in zagotovo bi dvorano Tivoli napolnili tudi četrtič!,Zaradi popularnosti so bili trije koncerti brez težav razprodani in dvorana Tivoli bi bila zagotovo že četrtič napolnjena!,Zaradi priljubljenosti so brez težav razprodali tri koncerte in zagotovo bi dvorano Tivoli napolnili tudi četrti
2518,3 Sara Isakovič – Plava v Sloveniji – Plava v Ameriki,3 Sara Isakovič - Plava v Sloveniji - Plava v Ameriki,3 Sara Isakovič - Plava v Sloveniji - Plava v Ameriki
2519,Se da od skakanja na šovih živeti?,Ali lahko živite v predstavah?,Ali se da živeti od skakanja na šovih?
2520,Kaj pa počneš poleg tega?,Kaj še počneš poleg tega?,Kaj počneš poleg tega?
2521,"Če že lahko izbiram, je zame idealno tisto, kar se dogaja na začetku zveze, ko se s punco šele spoznaš, in sicer zaradi tistega vznemirjenja, ki se potem nekako izgubi.","Če lahko izberem, kaj se zgodi na začetku razmerja, ko ste šele dobili, da jo poznam, je idealen zaradi tega navdušenja, ki dobi izgubil.","Če lahko izbiram, je zame idealno tisto, kar se dogaja na začetku zveze, ko se"
2522,"Ampak mislim, da imam idealno zvezo tudi zdaj, saj me Mojca podpira, ne tečnari, ko me ni doma, velikokrat me spremlja na poti in so ji všeč iste stvari kot meni.","Ampak mislim, da imam idealno razmerje tudi zdaj, ker Mojca me podpira, ne moti, ko nisem doma, pogosto me spremlja na cesti in ima rad iste stvari kot jaz.","mislim, da imam idealno zvezo tudi zdaj, saj me Mojca podpira, ne tečnari,"
2523,"""Všeč mi je, če je punca naravna.","všeč mi je, če je dekle naravno.","""Všeč mi je, če je punca naravna."
2524,Nikakor pa ne smeš varčevati pri naslednjih stvareh,Ne varčujte z denarjem pri naslednjih stvareh:,Nikakor ne smeš varčevati pri naslednjih stvareh.
2525,Da bi dvakrat uporabila vato?,Dvakrat uporabite bombažno volno.,Da bi dvakrat uporabila vato?
2526,"Khm, lepo da si tako varčna, ampak naslednji dan bo na že uporabljeni vati mrgolelo bakterij.","Khm, lepo od vas, da ste varčni, toda naslednji dan bo že uporabljena voda preplavljena z bakterijami.","Khm, lepo da si tako varčen, ampak naslednji dan bo na že uporabljeni v"
2527,To je stvar za izključno enkratno uporabo.,To je enkratna postavka.,To je stvar za izključno enkratno uporabo.
2528,"Da bi prihranila tako, da preprosto ne bi kupila balzama?","Da bi prihranili denar, ki ga preprosto ne kupujejo balzam?","Da bi prihranila tako, da preprosto ne bi kupila balzama?"
2529,"Lahko, če si želiš suhe in uničene lase.","Lahko, če želite, suhe in poškodovane lase.",Lahko si želite suhe in uničene lase.
2530,"Konice las so občutljive, zato jih le pocrkljaj po vsakem umivanju.","Lasni konci so občutljivi, zato jih po vsakem pranju le pocrkljajte.","Konice las so občutljive, zato jih le pocrkljajte po vsakem umivanju."
2531,"Prihraniš pa lahko tako, da naneseš balzam samo na konice.","Denar lahko prihranite tako, da balzam uporabite samo za nasvete.","Prihranite lahko tako, da nanesete balzam samo na konice."
2532,"S fantom ali sestro ali bratom, torej s tistim, katerim deliš svojo kopalnico, kupi izdelke, ki jih lahko uporabljata oba.","S svojim fantom, sestro ali bratom, to je z osebo, s katero si delite kopalnico, kupite predmete, ki jih lahko oba uporabljata.","S fantom ali sestro ali bratom, torej s tistim, ki deli svojo kopalnico, kupi izdelke"
2533,"Sem spadajo mila, šamponi, zobna pasta, pena za lase …","Med njimi so mila, šamponi, zobna pasta, pena za lase...","Sem spadajo mila, šamponi, zobna pasta, pena za lase..."
2534,Stroški se takoj razpolovijo.,Stroški se takoj prepolovijo.,Stroški se takoj obrnejo.
2535,"Način, kako pravilno odstraniti (in tudi vstaviti) lečo, je lepo prikazan na spletni strani www.lecka.si/rokovanje.php.",Kako pravilno odstraniti (in tudi vstaviti) objektiv je lepo prikazano na spletni strani www.lecka.si / handling.php.,"Način, kako pravilno odstraniti (in tudi vstaviti) lečo, je lepo prikazan na spletni"
2536,Daleč najbolj pomembna od vsega sta higiena in dosledno upoštevanje postopka.,Daleč najpomembnejše pa so higiena in strogo upoštevanje tega postopka.,Najbolj pomembna sta higiena in dosledno upoštevanje postopka.
2537,"Če se ga ne boš držala, te lahko leče namesto v čaroben večer popeljejo v velike težave z očmi.","Če se ga ne držite, vas lahko leče namesto v čarobno noč pripeljejo do večjih težav z očmi.","Če se ga ne boš držal, te lahko leče namesto v čaroben večer popeljejo v"
2538,"Na 'prijatelja' mu z najlonkami zaveži dva ali tri vozlje, a neeežno ... tako da bo še vedno 'dihal'.","Vežite dva ali tri vozle na ""prijatelj"" z najlonom, vendar neužitno... tako da bo še vedno ""dihal"".","Na 'prijatelja' mu z najlonkami zaveže dva ali tri vozle, vendar"
2539,"S stiskanjem mu povečaš občutljivost, tebi pa v položaju, ko si zgoraj, lepo dražijo ščegetavček.","S stiskanjem, povečate njegovo občutljivost, in ti v položaju, ko ste zgoraj, se lepo dražijo klitoris.","S stiskanjem mu povečaš občutljivost, v položaju, ko si zgoraj, pa lepo dražijo"
2540,"Kakšnih 30 sekund, preden mu odpihne pokrov z orgazmom, ga krožno masiraj v perineumu, točki med anusom in jajčki.","Za približno 30 sekund, preden piha pokrov off z orgazem, ga masirajte krožno v presredku, točko med anus in jajca.","Kakšnih 30 sekund, preden ga odpihne pokrov z orgazmom, ga masirajte v pe"
2541,"Ampak to ni nikoli tako pomembno, da bi vplivalo na zvezo.","Toda nikoli ni dovolj pomembno, da bi vplivalo na odnos.","Vendar to ni tako pomembno, da bi vplivalo na zvezo."
2542,"Res je, da opazimo obliko vaših ustnic in velikost klitorisa, vendar nikoli nismo zaradi tega razočarani.","Res je, da opazimo obliko vaših ustnic in velikost vašega klitorisa, vendar nismo nikoli razočarani.","Res je, da opazimo obliko vaših ustnic in velikost klitorisa, vendar nikoli nismo razočarani"
2543,"Ne bomo rekli, da so vse najlepše rožice na svetu, ker nam to itak ni pomembno.","Ne bomo rekli, da so vse rože najlepše na svetu, ker to za nas tako ali tako ni pomembno.","Ne bomo rekli, da so vse najlepše rože na svetu, ker nam to ni pomembno."
2544,"Vedeti morate le, da nas vaša vagina neskončno zadovoljuje, in to ne glede na videz.","Vse kar morate vedeti je, da je vaša vagina neskončno zadovoljujoča, ne glede na vaš videz.","Vedeti morate le, da nas vaša vagina neskončno zadovoljuje, ne glede na videz."
2545,"Iz enakih razlogov, zaradi katerih ženske nosite push-up nedrčke: da poudarimo našo velikost.","Iz istih razlogov, zaradi katerih ženske nosijo push-up nedrčke: poudariti našo velikost.","Iz enakih razlogov, zaradi katerih ženske nosijo push-up nedrčke: da poudarijo"
2546,"Zdi se nam, da če pristrižemo dlačice, s tem optično povečamo penis.","Videti je, da bo rezanje dlačic optično povečalo penis.","Zdi se nam, da če pristrižemo dlačice, s tem optično povečamo peni"
2547,"Poleg tega v vseh pornografskih filmih vidimo, da imajo moški postrižene sramne dlake in da se njihove soigralke nad tem sploh ne pritožujejo.","Poleg tega v vseh pornografskih filmih vidimo, da imajo moški svoje sramne dlake postrižene in da se njihove partnerke nad tem sploh ne pritožujejo.","Poleg tega v vseh pornografskih filmih vidimo, da imajo moški postrižene sramne dlake in"
2548,"In ker beremo, da to počne vse več mošlih, nočemo biti ravno zadnji, ki ima še vedno goščavo med nogami.","In ker beremo, da to počne vse več moških, ne želimo biti zadnji, ki bi imel med nogami še goščavo.","In ker beremo, da to počne vse več moštvenih igralcev, nočemo biti ravno zadnji,"
2549,"Dejstvo je, da eden izmed desetih bralcev naše revije uredi spodnjo frizuro pred pomembnim zmenkom.","Pravzaprav se pred pomembnim zmenkom ostriže vsak deseti bralec naše revije, ki bere.","Dejstvo je, da eden od desetih bralcev naše revije uredi spodnjo frizuro pred pomembnim z"
2550,Ali se naj velikih prsi dotikamo drugače kot majhnih?,Ali naj se velikih prsi dotikamo drugače kot majhnih prsi?,Ali se lahko velikih prsi dotikamo drugače kot majhnih?
2551,"Kaj so bile tvoje misli, ko sem se pred tebe prvič postavil/-a gol/-a?","Kakšne so bile vaše misli, ko sem se prvič gola postavila pred vas?","Kaj so bile tvoje misli, ko sem se prvič postavil na gol?"
2552,"Na voljo imaš trideset sekund, da me vzburiš samo s poljubi.","Imaš trideset sekund, da me vzburiš samo s poljubi.","Na voljo imaš trideset sekund, da me vzburiš samo s poljubi."
2553,Namig: Ne osredotoči se samo na ustnice.,: Ne osredotočite se samo na ustnice.,Namig: Ne osredotočite se samo na ustnice.
2554,"Skrb: ''Zelo všeč mi je, ko me med seksom šeška ali vleče za lase.",": Care ""Všeč mi je, ko me med seksom šeška ali me vleče za lase.","Skrb: ""Zelo všeč mi je, ko me med seksom še vedno vleče ali vleče z"
2555,"Skrbi me, da to ni normalno.''","Skrbi me, da to ni normalno. ""","Skrbi me, da to ni normalno. """
2556,"Najširši premer povprečne vagine je 3,3 cm, povprečni premer penisa v erekciji pa 3,81 cm.","največji premer povprečne vagine je 3,3 cm, povprečni premer pokončnega penisa pa je 3,81 cm.","Najširši premer povprečne vagine je 3,3 cm, povprečni premer penisa v erekciji"
2557,"Možnosti, da bo torej tvoja vagina širša od njegovega nabrekleža, so torej zelo majhne.","Zato so možnosti, da bo vaša vagina širša od nabreklosti, zelo majhne.","Možnosti, da bo tvoja vagina širša od njegovega nabrekleža, so torej zelo"
2558,"Hkrati so fantazije odlična priložnost, da uresničujemo najbolj skrite","Fantazije so tudi odlična priložnost, da uresničite najbolj skrite stvari.","Hkrati so fantazije odlična priložnost, da uresničujemo najbolj skrite."
2559,"Tekst: Da bo tvoja koža poleg mraza in vetra občutila še malo nežnosti, ji ekspresno petminutno razvajanje privošči vsak dan.","Text: Da bo vaša koža poleg mraza in vetra čutila tudi rahlo nežnost, ji vsak dan privoščite izrecno petminutno razvajanje.","Tekst: Da bi tvoja koža občutila veliko nežnosti, ji lahko vsak dan privošči pet"
2560,"Lancastrov set petih mask za obraz, v katerem so poleg mini pilinga še vlažilna, hranilna, čistilna in poživljajoča maska, je zaradi miniaturne embalaže izvrsten tudi za na zimsko potovanje.","Komplet petobraznih mask Lancaster, ki poleg mini pilinga vsebuje še vlažilno, negovalno, očiščevalno in poživljajočo masko, naredi to miniaturno embalažo popolno za zimski izlet.","Lancastrov set petih mask za obraz, v katerem so poleg mini pilinga še vl"
2561,Tekst: Vsa umetnost pri tem triku se skriva v pravilnem izboru ter izmeničnem nanosu mat in bleščečega senčila.,Besedilo: Vsa umetnost tega trika je v pravilni izbiri in nadomestnem nanosu mat in sijočega senčila za oči.,Tekst: Vsa umetnost pri tem triku se skriva v pravilnem izboru in izmeničnem nano
2562,"A. Na rob zgornje veke nanesi rjavo mat senčilo, posebno pozornost posveti notranjemu kotu očesa, ki ga lahko obarvaš rahlo svetleje.","A. Na rob zgornje veke nanesite rjavo mat senčilo, posebno pozornost pa posvetite notranjemu kotičku očesa, ki je lahko tudi nekoliko svetlejše barve.","A. Na rob zgornje veke nanesite rjavo mat senčilo, ki je"
2563,"Napihnjena bunda s pentljo na vratu daje ženstven in prefinjen videz, zato jo lahko nosiš tudi k čipkasti obleki.","Napihnjena jakna z lokom na vratu ji daje ženstven in prefinjen videz, tako da jo lahko nosite s čipkasto obleko.",Napihnjena bunda s pentljo na vratu daje ženstven in prefinjen videz
2564,Izbrala: Maja Možic,: Izbrana s strani Maje Možic,Izbrala je: Maja Možic
2565,"(MORAM SE POZANIMATI, ALI SE BO RES DALO DOBTI VODO TUDI PRI NAS (Izvem v ponedeljek))","(Vprašati se moram, če bom tudi jaz lahko šla po vodo.)","(moram se spomniti, ali bo voda res dala dobro vodo tudi pri nas (izvem"
2566,"''Ozka obleka poudari tvoje obline, opazna zadrga spredaj pa mu namiguje: Pridi pome, dragi.''","""Ozka obleka poudarja svoje krivulje, in opazen zadrgo spredaj namiguje na to: Pridi za mene, draga.""","""Ozka obleka poudari tvoje obline, opazna zadrga zadaj pa mu namiguje:"
2567,"''Bela srajca je prava izbira, če mu hočeš namigniti, da si pripravljena na resno zvezo.","""bela srajca je prava izbira, če želite, da kažejo, da ste pripravljeni za resno razmerje.","""Bela srajca je prava izbira, če mu želiš namigniti, da si pripravljen n"
2568,"Ne zapni je do vrha, raje pokaži nekaj kože.''","Ne pripnite ga na vrh, ampak pokažite nekaj kože. ""","Ne zapni do vrha, raje pokaži nekaj kože. """
2569,"Ženske rade rečete, da vam ni zelo pomembno, kako vas obdari, saj za vas šteje že to, da se je spomnil.","Ženske radi pravijo, da vam ni zelo pomembno, kako vam daje darila, ker je dejstvo, da se je spomnil, pomembno za vas.","Ženske rade rečejo, da vam ni pomembno, kako vas obdari, saj je za vas pomembno"
2570,"Vendar vsak moški, ki je kdaj v napetosti opazoval izraz svoje dame, ko je odpirala darilo, ve, da to niti približno ne drži.","Vendar pa vsak moški, ki je kdaj gledal izraz svoje dame v negotovosti, ko je odprla darilo, ve, da je to daleč od resnice.","Vendar vsak moški, ki je kdaj opazoval izraz svoje dame, ko je odprla darilo, ve"
2571,"Z darilom vam povemo, koliko se zares zanimamo za vas, koliko smo bili pozorni, ko ste nam mimogrede omenile, česa si želite, koliko smo se za vas pripravljeni potruditi.","Z darilom vam povemo, koliko nam je resnično mar za vas, koliko pozornosti smo namenili, ko ste omenili, kaj želite, koliko smo pripravljeni storiti za vas.","Z darilom vam povemo, koliko se zares zanimate za vas, koliko smo bili pozorni,"
2572,"Najhujši je prisiljen nasmešek, ko zagledate svoje darilo, in nekakšna kisla zahvala.","Najhuje je prisiljen nasmeh, ko vidiš svoje darilo, in neke vrste kisla hvala - ti.","Najhujši je prisiljen nasmeh, ko zagledate darilo, in nekakšna kisla zahvala."
2573,"Kupovanje daril je eno najbolj stresnih opravil za moškega v decembru, zato nam morate pomagati.","Nakup daril je ena izmed najbolj stresnih nalog za človeka v decembru, zato nam morate pomagati.","Kupovanje daril je eno najbolj stresnih opravil za moškega v decembru, zato nam morate pomagati"
2574,Samo bežni namigi skozi leto najverjetneje ne bodo dovolj.,Samo namigi skozi vse leto morda ne bodo dovolj.,Samo bežni namigi skozi leto verjetno ne bodo dovolj.
2575,"Recimo, vse decembrske sprehode po okrašenem Centru lahko izkoristite za to, da se navdušite nad darilom, ki si ga želite.","Na primer, vse decembrske sprehode skozi okrašen Center lahko uporabite, da se navdušite nad darilom, ki ga želite.","Recimo, vse decembrske sprehode po okrašenem Centru lahko izkoristite za to,"
2576,"Pač ob uhanih, ki so vam všeč, malo glasneje in večkrat zastokate.","Samo malo glasneje in pogosteje stokaš z uhani, ki so ti všeč.","Seveda, ob uhanih, ki so vam všeč, malo glasneje in večkrat zastokajte"
2577,"Moškim je treba malo bolj konkretno nakazati, česa si želite.","Moški potrebujejo malo bolj konkreten namig o tem, kaj hočeš.","Moškim je treba malo bolj natančno pokazati, kaj si želite."
2578,"Ne zato, ker bi bili manj inteligentni, ampak zato, ker se pogosto ne zavedamo, kako pomembne se takšne geste zdijo ženskam.","Ne zato, ker bi bili manj inteligentni, temveč zato, ker se pogosto ne zavedamo, kako pomembne se nam zdijo takšne geste.","Ne zato, ker bi bili manj inteligentni, ampak zato, ker se pogosto ne zavedamo,"
2579,"Tudi tistim, ki to zanikajo.","Celo tistim, ki to zanikajo.","Tudi tistim, ki to zanikajo, se to zanika."
2580,"Sami redko vemo, kaj je tisto pravo za vas.","Redko vemo, kaj je za vas prav.","Sami redko vemo, kaj je pravo za vas."
2581,"To nam uspe le, če smo naravno nadarjeni za to ali pa ste nas skozi leta že dobro natrenirale.","To lahko storimo samo, če smo naravno nadarjeni ali pa smo bili skozi leta dobro usposobljeni.","To nam uspe le, če smo naravno nadarjeni za to ali ste že dobro natreni"
2582,"Če je zveza sveža, pa bo potrebno nekoliko več vodenja.","Če je odnos svež, bo morda potrebno malo več vodstva.","Če je zveza sveža, bo potrebno nekoliko več vodenja."
2583,"Njej ljubi komplimenti … pred, med in po","Obožuje komplimente... pred, med in po","Njej ljubi komplimenti... pred, med in po"
2584,Odločila se je za eksperimentiranje,Odločil se je za eksperiment,Odločila se je za eksperimentiranje.
2585,"Vedeti moraš, da nova stvar, ki jo namerava poskusi s tabo, od nje zahteva nekaj poguma.","Upoštevajte, da nova stvar, ki jo namerava poskusiti z vami, zahteva nekaj poguma.","Vedeti morate, da nova stvar, ki jo nameravate poskusiti s tabo, zahteva nekaj"
2586,"Očitno je, da ti je začela zaupati, zato njenega zaupanja ne zapravi z nekaj neumnimi besedami, kot so: ''Nisem vedel, da si tako perverzna!'' Vse, s čimer se strinjata dve odrasli osebi, je normalno in moralno.","Očitno je, da je začela, da vam zaupam, tako da ne zapravljajo svoje zaupanje z nekaterimi neumnimi besedami, kot so: ""Nisem vedel, da so bili tako perverzno!"" Vse, kar sta dve odrasli strinjajo s je normalno in","Očitno je, da ti je začela zaupati, zato ne zapravlja svojega zaupanja z nekaj neumnimi besedami"
2587,"Ker se najbrž sprašuje, kako se ob njenem predlogu počutiš, ali ti je všeč, kar počne, in predvsem, ali to počne prav, ji povej, kaj misliš.","Ker se verjetno sprašuje, kako se počutite glede njenega predloga, ali vam je všeč, kaj počne, in, predvsem, ali to počne prav, ji povejte, kaj mislite.","Ker se verjetno sprašuje, kako se počutiš ob njenem predlogu, ali je všeč, kar počne"
2588,"Če ne gre ravno po načrtih, ji pomagaj, da ji ne bo nerodno.","Če ne bo šlo po načrtih, ji pomagaj, da ji ne bo nerodno.","Če ne gre po načrtih, ji pomagaj, da ji ne bo nerodno."
2589,"Bistveno je, da bo vedela, da ti je najbolj všeč takrat, kadar je v postelji popolnoma sproščena.","Bistvo je, da bo vedela, da vam je najbolj všeč, ko je popolnoma sproščena v postelji.","Pomembno je, da bo vedela, da ti je najbolj všeč, ko je popolnoma sproščena."
2590,"Zanjo je zelo pomembno, da te zna dobro zadovoljiti tudi z usti in rokami.","Za njo je zelo pomembno, da vas lahko dobro zadovolji z usti in rokami.","Zanjo je zelo pomembno, da te zna dobro zadovoljiti z usti in rokami."
2591,"Ko konča s prijetnim opravilom, bi rada vedela, kako je bilo: ali je bilo res tako čudovito, kot je njena velika knjiga o seksu obljubljala, da bo, in ali se ti je zares zmešalo, kot je napovedal Cosmo?","Ko je končala z lepo službo, bi rad vedel, kako je šlo: Je bilo res tako čudovito, kot je obljubila njena velika seks knjiga, in ali ste res šli nori, kot je napovedal Cosmo?","Ko konča s prijetnim opravilom, bi rada vedela, kako je bilo: ali je bilo"
2592,"Vse njene dvome lahko na hitro razpršiš s strastnim poljubom, saj je ženska nočna mora prav ta, da je moški po oralnem seksu ne bo hotel poljubiti.","Vse njene dvome je mogoče hitro pregnati s strastnim poljubom, saj je ženska nočna mora, da je moški ne bo želel poljubiti po oralnem seksu.","Vse njene dvome lahko hitro razpršite s strastnim poljubom, saj je ženska nočna mor"
2593,"Ta poljub je zanjo najlepši kompliment, saj je znak, da med vama ni nikakršnih zadržkov in blokad.","Ta poljub je najboljši kompliment za njo, saj je znak, da med vami ni nobenih zadržkov ali blokad.","Ta poljub je zanjo najlepši kompliment, saj je znak, da med vama ni nobenih"
2594,"Saj si ji vendar hvaležen za ta čudoviti užitek, kajne?","Ampak vi ste hvaležni za užitek, ali ne?","Saj si ji hvaležen za ta čudoviti užitek, kajne?"
